City,State,Latitude,Longitude,UniqueFastFoodChains
Aurora,CO,39.658991,-104.848961,1
Aurora,CO,39.676502,-104.866495,1
Aurora,CO,39.690694,-104.8653611,1
Aurora,CO,39.697205,-104.824323,1
Aurora,CO,39.712898,-104.823072,1
Aurora,CO,39.739667,-104.866387,1
Aurora,CO,39.73975669,-104.8525905,1
Aurora,CO,39.740086,-104.852055,1
Aurora,CO,39.764532,-104.77331,1
Aurora,IL,41.755667,-88.210489,1
Aurora,IL,41.759701,-88.208402,1
Aurora,IL,41.771068,-88.313647,1
Aurora,IL,41.77177,-88.20597,1
Aurora,IL,41.77266,-88.313975,1
Aurora,IL,41.778876,-88.315713,1
Aurora,IN,39.0696,-84.9019,1
Aurora,OH,41.320023,-81.348033,1
Aurora,OH,41.351769,-81.385315,1
Austell,GA,33.86562,-84.62604,1
Austin,MN,43.666573,-92.986218,1
Austin,MN,43.67817,-92.993398,1
Austin,MN,43.684466,-92.991933,1
Austin,TX,30.16598,-97.69252,1
Austin,TX,30.188304,-97.765636,1
Austin,TX,30.193097,-97.777699,1
Austin,TX,30.208436,-97.781257,1
Austin,TX,30.22325,-97.844193,1
Austin,TX,30.236888,-97.721834,1
Austin,TX,30.238834,-97.725402,1
Austin,TX,30.285019,-97.74184,1
Austin,TX,30.298674,-97.72026,1
Austin,TX,30.300467,-97.719643,1
Austin,TX,30.329177,-97.658348,1
Austin,TX,30.329335,-97.715475,1
Austin,TX,30.335478,-97.717706,1
Austin,TX,30.339992,-97.738675,1
Austin,TX,30.348699,-97.735013,1
Austin,TX,30.356305,-97.730433,1
Austin,TX,30.363358,-97.718159,1
Austin,TX,30.365671,-97.695913,1
Austin,TX,30.369553,-97.801748,1
Austin,TX,30.375423,-97.67237,1
Austin,TX,30.382939,-97.723646,1
Austin,TX,30.385807,-97.942756,1
Austin,TX,30.387863,-97.647626,1
Austin,TX,30.394463,-97.720675,1
Austin,TX,30.400225,-97.747279,1
Austin,TX,30.403622,-97.672028,1
Austin,TX,30.418152,-97.702115,1
Austin,TX,30.418206,-97.704414,1
Austin,TX,30.447359,-97.789004,1
Austin,TX,30.448117,-97.789305,1
Austin,TX,30.461648,-97.795071,1
Avon,IN,39.758208,-86.434633,1
Avon,IN,39.763513,-86.383805,1
Avon,MN,45.605608,-94.450083,1
Avon Lake,OH,41.492155,-82.018983,1
Avon Park,FL,27.596742,-81.494029,1
Avondale,AZ,33.42145,-112.291575,1
Avondale,AZ,33.435005,-112.305725,1
Avondale,AZ,33.435425,-112.303223,1
Avondale,AZ,33.44927,-112.342173,1
Avondale,AZ,33.450165,-112.341088,1
Avondale,AZ,33.454904,-112.340964,1
Avondale,AZ,33.456407,-112.274322,1
Avondale,AZ,33.460696,-112.340602,1
Avondale,AZ,33.46463,-112.27328,1
Avondale,AZ,33.465255,-112.277288,1
Aynor,SC,33.991029,-79.200414,1
Aynor,SC,33.995021,-79.203855,1
Azle,TX,32.893012,-97.537666,1
Aztec,NM,36.825866,-107.994646,1
Azusa,CA,34.117576,-117.907269,1
Azusa,CA,34.122475,-117.907349,1
Azusa,CA,34.12867,-117.88797,1
Azusa,CA,34.131646,-117.895856,1
Azusa,CA,34.133291,-117.924566,1
Bad Axe,MI,43.820495,-83.000963,1
Baker,CA,35.269529,-116.069525,1
Baker,LA,30.581615,-91.129809,1
Bakersfield,CA,35.266543,-119.025897,1
Bakersfield,CA,35.266665,-119.253207,1
Bakersfield,CA,35.267234,-119.252777,1
Bakersfield,CA,35.2674,-119.0385,1
Bakersfield,CA,35.312147,-119.09208,1
Bakersfield,CA,35.31765,-119.07668,1
Bakersfield,CA,35.323261,-119.12751,1
Bakersfield,CA,35.339883,-119.035519,1
Bakersfield,CA,35.353978,-119.333016,1
Bakersfield,CA,35.35471,-119.06161,1
Bakersfield,CA,35.36813,-119.04835,1
Bakersfield,CA,35.368172,-119.04409,1
Bakersfield,CA,35.368682,-119.03872,1
Bakersfield,CA,35.37719,-118.91516,1
Bakersfield,CA,35.380387,-119.020827,1
